show_id,director_id
s1535,1014
s1537,1015
s1538,1016
s1541,1017
s1542,1018
s1542,1019
s1543,1020
s1545,1021
s1550,1022
s1551,1023
s1557,1024
s1558,1025
s1559,1026
s1559,1027
s1561,1028
s1562,1029
s1564,1030
s1565,1031
s1566,1032
s1567,573
s1568,1014
s1569,1014
s1572,1033
s1576,1034
s1577,1035
s1581,1036
s1581,1037
s1581,1038
s1582,532
s1583,768
s1585,797
s1587,1039
s1588,1040
s1588,1041
s1588,1042
s1589,1043
s1592,1044
s1592,1045
s1593,1046
s1596,409
s1598,1047
s1599,1048
s1600,1049
s1601,1050
s1602,1051
s1603,1052
s1605,1053
s1607,1054
s1609,375
s1610,1055
s1611,689
s1613,896
s1614,1056
s1617,1057
s1618,1058
s1621,1059
s1622,91
s1625,689
s1627,1060
s1630,1061
s1631,1062
s1632,1063
s1633,1064
s1634,1065
s1636,18
s1636,17
s1637,1066
s1638,1067
s1643,1068
s1644,1069
s1645,1070
s1646,1071
s1647,1072
s1648,986
s1649,1073
s1651,995
s1652,1074
s1653,1075
s1654,1075
s1655,734
s1656,1076
s1656,1077
s1657,689
s1658,1078
s1660,1079
s1661,1080
s1663,1081
s1664,1082
s1665,564
s1666,1083
s1667,1084
s1670,1085
s1670,1086
s1672,1087
s1674,1088
s1675,1089
s1676,1090
s1677,1091
s1678,986
s1679,1088
s1680,211
s1681,846
s1682,1092
s1683,986
s1684,1093
s1686,1094
s1687,1095
s1690,1096
s1691,1097
s1691,1098
s1692,1099
s1695,1100
s1695,1101
s1696,1099
s1700,1102
s1701,867
s1703,1103
s1704,1104
s1705,1105
s1706,1106
s1707,1107
s1708,986
s1710,1108
s1711,1109
